title;price;place a;place b;place c;size;lat;long
Ustanička - na najboljoj poziciji, Vlasnik;175.000,00;"Beograd ";"Opština Zvezdara ";"Konjarnik ";67;44.7827202;20.5067648
Prodajem odmah useljiv stan na Cukarickoj padini;124.000,00;"Beograd ";"Opština Čukarica ";"Čukarička padina ";46;44.7791826;20.4058581
Odlican stan Bezanijska kosa;236.900,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;88;44.8200035;20.3796226
3.0 Tašmajdan-Bulevar kralja Aleksandra 83m2;315.000,00;"Beograd ";"Opština Stari grad ";"Centar ";83;34.8325353;-92.1873959
BW - Metropolitan, odmah useljiv ID#1181;383.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";89,33;44.80488280000001;20.448043
Stan u Zemunu i posl-magacinski prostor+parking;105.600,00;"Beograd ";"Opština Zemun ";"Centar ";48;34.8325353;-92.1873959
Novi Beograd, Institut za majku i dete, 3,0, lift;192.500,00;"Beograd ";"Opština Novi Beograd ";"Paviljoni ";78;44.8333519;20.4060828
BW - Thalia, studio, odlicna investicija ID#1182;164.888,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";32,06;44.80488280000001;20.448043
Prodaja 3,0 - dupleks stana 81kvm,na Karaburmi ID#;162.000,00;"Beograd ";"Opština Palilula ";"Karaburma ";81;44.8172662;20.509558
Karaburma, dvosoban stan, prazan, odmah useljiv;99.000,00;"Beograd ";"Opština Palilula ";"Karaburma ";51;44.8172662;20.509558
Centar, blizina Studentskog trga 70(2L), parking;280.000,00;"Beograd ";"Opština Stari grad ";"Centar ";70;34.8325353;-92.1873959
Šumice, 38m2, III, cg, uk. ID#82736;112.000,00;"Beograd ";"Opština Voždovac ";"Šumice ";38;44.7856266;20.4912167
Prodajem stan u Zemunu-28 kvadrati+15 kvadrati za;36.000,00;"Beograd ";"Opština Zemun ";"Altina ";28;null;null
Lux penthaus sa najlepsim pogledom;206.800,00;"Beograd ";"Opština Novi Beograd ";"Ledine ";115;44.8035245;20.3432558
Šumatovačka 155 Vračar 88 m2 u de lux zgradi;306.144,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";88;44.793588;20.4809591
Šumatovačka 155 centar Vračara 35m2 u lux zgradi;120.000,00;"Beograd ";"Opština Vračar ";"Južni bulevar ";35;44.793588;20.4809591
Blok 21, Bul. Zorana Đinđića, 53kvm+10kvm;164.500,00;"Beograd ";"Opština Novi Beograd ";Blok 21;53;44.8145051;20.4303868
Ugao Sarajevske i Nemanjine;188.000,00;"Beograd ";"Opština Savski venac ";"Sarajevska ";66;44.8029445;20.4541963
Top lokacija-retko u ponudi;135.000,00;"Beograd ";"Opština Stari grad ";"Knez Mihailova ";40;44.8177356;20.4569894
Kumodraž 2, prekoputa restorana Dash, vlasnik;140.000,00;"Beograd ";"Opština Voždovac ";"Kumodraž ";53;44.73943329999999;20.5098129
Vračar, Krunska, četvorosoban, luks, 96m2;370.000,00;"Beograd ";"Opština Vračar ";"Centar ";96;34.8325353;-92.1873959
BW Verde, nov, lux 1.0 stan sa pogledom na reku;245.000,00;"Beograd ";"Opština Savski venac ";"Beograd na vodi ";31;44.80488280000001;20.448043
Lux stan na Vracaru;122.000,00;"Beograd ";"Opština Vračar ";"Crveni krst ";32;44.795856;20.4882292
Krunska,Svetozara Markovica,zuta fasadna,4.o,112m2;370.000,00;"Beograd ";"Opština Vračar ";"Centar ";112;34.8325353;-92.1873959
Krunska,Molerova,pent,luks,odlicna zgrada,150m2,41;415.000,00;"Beograd ";"Opština Vračar ";"Centar ";150;34.8325353;-92.1873959
Autokomanda, A.Vukovića 94+2lođe,garaža, odličan;285.000,00;"Beograd ";"Opština Voždovac ";"Autokomanda ";94;44.7902717;20.46634
Kod Hrama,Dubljanska, 80+24 terasa;290.000,00;"Beograd ";"Opština Vračar ";"Hram svetog Save ";80;44.7981382;20.4690468
Ekskluzivan mali salonac u Knez MIhailovoj;280.000,00;"Beograd ";"Opština Stari grad ";"Knez Mihailova ";37;44.8177356;20.4569894
Kralja Milana,vrlo simpticnih 39 kvm;153.000,00;"Beograd ";"Opština Stari grad ";"London ";39;51.5072178;-0.1275862
Bezanijska kosa,dvosoban,52 kvm;110.000,00;"Beograd ";"Opština Novi Beograd ";Bežanijska kosa 3;52;44.8200035;20.3796226
Blok 29,Bul.umetnosti,dvoiposoban stan;195.000,00;"Beograd ";"Opština Novi Beograd ";Blok 29;68;44.8157598;20.4171526
