Country,City,Municipali,District,Street,Price,Qm2,struktura,result_num,osm_id,display_na,category,type,latlong,label,label_1,label_2
Serbia,Belgrade,Opstina Vracar,Pravni fakultet,Svetozara Markovica,"125","42",15 Broj soba,"0","5210158","Светозара Марковића, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.8083054,20.4695537",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Metohijska 25,"170","18",05 Broj soba,"0","4024065507","25, Метохијска, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",place,house,"44.7933491,20.4930319",,,
Serbia,Belgrade,Opstina Vracar,Krunska,KRUNSKA,"200","19",05 Broj soba,"0","56693672","Крунска, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.8015667,20.4753787",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,sumatovacka,"200","21",10 Broj soba,"0","36948414","Шуматовачка, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",highway,residential,"44.7929581,20.4869536",,,
Serbia,Belgrade,Opstina Vracar,Slavija,Krunska 54,"200","22",05 Broj soba,"0","3984711453","54, Крунска, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",place,house,"44.8046751,20.4704731",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Milesevska,"200","25",05 Broj soba,"0","199914574","Милешевска, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",highway,secondary,"44.7975905,20.4869497",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Milesevska,"200","25",10 Broj soba,"0","199914574","Милешевска, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",highway,secondary,"44.7975905,20.4869497",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,Ivana Djaje,"200","28",10 Broj soba,"0","23298018","Ивана Ђаје, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.7989232,20.4746333",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Metohijska,"200","31",10 Broj soba,"0","840265692","Метохијска, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",highway,residential,"44.7940965,20.490099",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Grcica Milenka 1,"200","43",10 Broj soba,"0","397704505","1, Грчића Миленка, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",building,apartments,"44.7948172,20.490506201138693",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Grcica Milenka,"200","44",10 Broj soba,"0","39998802","Грчића Миленка, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",highway,secondary,"44.7918714,20.4899776",,,
Serbia,Belgrade,Opstina Vracar,SC Vracar,Resavska,"200","45",15 Broj soba,"0","545718479","Ресавска, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.8095077,20.4678513",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,Sindjeliceva,"220","36",15 Broj soba,"0","676602677","Синђелићева, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.8033714,20.47994",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,Sindjeliceva,"220","36",15 Broj soba,"0","676602677","Синђелићева, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.8033714,20.47994",,,
Serbia,Belgrade,Opstina Vracar,SC Vracar,Svetozara Markovica,"220","40",15 Broj soba,"0","5210158","Светозара Марковића, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.8083054,20.4695537",,,
Serbia,Belgrade,Opstina Vracar,SC Vracar,Svetozara Markovica,"220","40",15 Broj soba,"0","5210158","Светозара Марковића, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.8083054,20.4695537",,,
Serbia,Belgrade,Opstina Vracar,Hram svetog Save,Bulevar Oslobodjenja,"220","41",10 Broj soba,"0","676355525","Булевар ослобођења, Неимар, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.8005576,20.4659949",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,Sindjeliceva,"240","40",15 Broj soba,"0","676602677","Синђелићева, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.8033714,20.47994",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,Kneginje Zorke,"250","22",10 Broj soba,"0","676383993","Кнегиње Зорке, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,tertiary,"44.802248,20.4712022",,,
Serbia,Belgrade,Opstina Vracar,Juzni bulevar,Grahovska,"250","25",05 Broj soba,"0","36948412","Граховска, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.7948754,20.4787128",,,
Serbia,Belgrade,Opstina Vracar,Slavija,Prote Mateje,"250","25",20 Broj soba,"0","673405849","Проте Матеје, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.8050441,20.4704298",,,
Serbia,Belgrade,Opstina Vracar,Cvetni trg,Prote Mateje,"250","25",20 Broj soba,"0","673405849","Проте Матеје, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.8050441,20.4704298",,,
Serbia,Belgrade,Opstina Vracar,Krunska,Krunska,"250","29",10 Broj soba,"0","56693672","Крунска, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.8015667,20.4753787",,,
Serbia,Belgrade,Opstina Vracar,Neimar,Milorada Mitrovica,"250","30",10 Broj soba,"0","23073301","Милорада Митровића, Неимар, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.7935166,20.4747123",,,
Serbia,Belgrade,Opstina Vracar,Hram svetog Save,Internacionalnih brigada,"250","34",10 Broj soba,"0","12528320","Интернационалних бригада, Неимар, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.7947809,20.4755028",,,
Serbia,Belgrade,Opstina Vracar,Hram svetog Save,Kursulina,"250","35",10 Broj soba,"0","36948675","Курсулина, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,tertiary,"44.8006864,20.4739103",,,
Serbia,Belgrade,Opstina Vracar,Hram svetog Save,Makenzijeva,"250","38",10 Broj soba,"0","675516942","Макензијева, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.7977454,20.4741467",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,Kursulina,"250","40",20 Broj soba,"0","36948675","Курсулина, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,tertiary,"44.8006864,20.4739103",,,
Serbia,Belgrade,Opstina Vracar,Karadjordjev park,Rudnicka,"250","42",10 Broj soba,"0","23298059","Рудничка, Неимар, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,living_street,"44.7924537,20.4687657",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Vojislava Ilica,"250","44",10 Broj soba,"0","677111544","Војислава Илића, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",highway,secondary,"44.7940136,20.4935557",,,
Serbia,Belgrade,Opstina Vracar,Crveni krst,Vojislava Ilica 34,"250","45",15 Broj soba,"0","4024065496","34, Војислава Илића, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",place,house,"44.7932183,20.4950332",,,
Serbia,Belgrade,Opstina Vracar,Gospodara Vucica,Generala Horvatovica br10,"250","46",15 Broj soba,"0","814613750","Генерала Хорватовића, Црвени крст, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11118, Србија",highway,residential,"44.7924985,20.4857717",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,novopazarska,"250","57",20 Broj soba,"0","23298029","Новопазарска, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.7985754,20.4765656",,,
Serbia,Belgrade,Opstina Vracar,Kalenic pijaca,novopazarska,"250","57",20 Broj soba,"0","23298029","Новопазарска, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.7985754,20.4765656",,,
Serbia,Belgrade,Opstina Vracar,Bulevar kralja Aleksandra,Molerova,"260","29",05 Broj soba,"0","666285128","Молерова, Чубура, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,residential,"44.8012673,20.4714097",,,
Serbia,Belgrade,Opstina Vracar,Bulevar kralja Aleksandra,Bulevar kralja Aleksandra,"270","20",05 Broj soba,"0","676603333","Булевар краља Александра, Београд (Врачар), Градска општина Врачар, Београд, Град Београд, Централна Србија, 11000, Србија",highway,secondary,"44.8077101,20.4706926",,,
