title;price;place a;place b;place c;size;lat;long
Blok 70A, 3.0 stan, namesten;700,00;Beograd ;Opština Novi Beograd ;Blok 70a;"85";44.80040899999999;20.402188
Centar, Vukov spomenik, namešten stan, nova zgrada;450,00;Beograd ;Opština Zvezdara ;Vukov Spomenik ;"29";44.8046413;20.4832729
Vračar, Hram;1.800,00;Beograd ;Opština Vračar ;Hram svetog Save ;"100";44.7981382;20.4690468
2.0, Novi Beograd, blok 62, Jurija Gagarina, 48m2;450,00;Beograd ;Opština Novi Beograd ;Blok 62;"48";44.8039695;20.376525
Dimitrja Tucovića 55m2 ID#4798;800,00;Beograd ;Opština Zvezdara ;Vukov Spomenik ;"55";44.8046413;20.4832729
Komforan sa prostranom terasom;450,00;Beograd ;Opština Voždovac ;Lekino brdo ;"53";44.7891937;20.4947692
Renoviran sa prelepim pogledom, pet friendly;700,00;Beograd ;Opština Novi Beograd ;Blok 38;"55";44.8180749;20.4047095
Blok 67, Belvill, lux, garaža, 2.0, ID 19769;800,00;Beograd ;Opština Novi Beograd ;Blok 67 (Belvil);"50";44.8054293;20.407693
West 65, lux, novogradnja, garaža, ID 19613;1.300,00;Beograd ;Opština Novi Beograd ;Blok 65;"60";44.8126665;20.3980309
BW Parkview, lux, novogradnja, garaža, ID 19271;1.300,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"56";44.80488280000001;20.448043
Banovo brdo, lux komforan stan, ID 19089;2.500,00;Beograd ;Opština Čukarica ;Banovo brdo ;"116";44.7767729;20.4155629
Blok 65, The One, izdavanje, nov, 2.0 sa garažom;1.500,00;Beograd ;Opština Novi Beograd ;Blok 65;"61";44.8126665;20.3980309
Mirijevo, novogradnja, odličan, ID 8571;500,00;Beograd ;Opština Zvezdara ;Mirijevo ;"69";44.7854051;20.5461547
Beograd, Blok 65, Stan, 2.0, 56m2;1.300,00;Beograd ;Opština Novi Beograd ;Blok 65;"56";44.8126665;20.3980309
1.5 stan blizu Vukovog spomenika, vlasnik;420,00;Beograd ;Opština Zvezdara ;Vukov Spomenik ;"38";44.8046413;20.4832729
Zepterra;1.000,00;Beograd ;Opština Novi Beograd ;Blok 65;"55";44.8126665;20.3980309
Chic studio, Kennedy Residence;1.000,00;Beograd ;Opština Novi Beograd ;Blok 9a;"37";44.8318855;20.4149874
Sun City, lux, novogradnja, garaža, ID 18657;1.350,00;Beograd ;Opština Novi Beograd ;Blok 63;"74";44.805903;20.3823845
West Tower, novogradnja, garaža, ID 19543;1.500,00;Beograd ;Opština Novi Beograd ;Blok 65;"60";44.8126665;20.3980309
Novi Beograd - Blok 22 Arena ID#51870;800,00;Beograd ;Opština Novi Beograd ;Blok 22;"80";44.811609;20.4264583
Hram sv. Mateja Apostola kvalitetno novo od aprila;550,00;Beograd ;Opština Novi Beograd ;Ledine ;"42";44.8035245;20.3432558
Lux, novogradnja, komforan, ID 19770;850,00;Beograd ;Opština Vračar ;Crveni krst ;"53";44.795856;20.4882292
Lux, Dedinje, sa tri garažna mesta;2.500,00;Beograd ;Opština Savski venac ;Dedinje ;"148";44.77406879999999;20.4560195
