title,price,location A,location B,location C,location D,size,lat,long
Novi Beograd-Novogradnja-New-Minel-Dvosoban ID#207,"154.000,00 €","Beograd ","Opština Novi Beograd ","Tošin bunar ","Tošin bunar ","57 m2
Kvadratura",44.8268679,20.3981927
"Hram, lux, novogradnja, dupleks, ID 17030","450.000,00 €","Beograd ","Opština Vračar ","Hram svetog Save ","Dubljanska ","150 m2
Kvadratura",44.7981492,20.4691058
"*TAŠMAJDAN, 120m2, vpr, cg, uk. ID#78790","430.000,00 €","Beograd ","Opština Vračar ","Centar ","Resavska ","120 m2
Kvadratura",44.8046468,20.4619352
"4,0 sobni salonski stan sa velikom terasom","380.000,00 €","Beograd ","Opština Savski venac ","Kneza Miloša ","Miloša Pocerca ","95 m2
Kvadratura",44.8027707,20.4567429
Savski trg - DELJIV NA DVE STAMBENE JEDINICE,"200.000,00 €","Beograd ","Opština Savski venac ","Savski trg - Pristanište ","Karađorđeva ","90 m2
Kvadratura",44.8083711,20.4570323
"Savski Venac, Beograd na vodi - Durmitorska, 96m2","215.000,00 €","Beograd ","Opština Savski venac ","Beograd na vodi ","Durmitorska ","96 m2
Kvadratura",44.8011684,20.4523979
"3,0 soban stan od 99m2 na Vračaru","289.000,00 €","Beograd ","Opština Vračar ","Kalenić pijaca ","Nikolaja Hartviga ","99 m2
Kvadratura",44.8001747,20.475769
"Odličan 2,0 stan od 47m2 u Profesorskoj koloniji","119.000,00 €","Beograd ","Opština Palilula ","Profesorska kolonija ","Ljubomira Stojanovića ","47 m2
Kvadratura",44.8142503,20.4788381
Crkva Sv. Marka - Resavska - 68m2 ID#2386,"183.000,00 €","Beograd ","Opština Vračar ","Krunski venac ","Resavska ","68 m2
Kvadratura",44.8046468,20.4619352
"SVETAO,KOMFORAN 4.0 STAN, NAMEŠTEN 87 m2+TERASA","240.000,00 €","Beograd ","Opština Novi Beograd ","Hotel Jugoslavija ","Aleksinačkih rudara ","87 m2
Kvadratura",44.8295445,20.4201481
"Lux stanovi, Mirijevo, 0.5, 26.68m2 ID#1571","45.356,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Kapetana Miloša Žunjića ","26,68 m2
Kvadratura",44.7947239,20.5400886
"Gornji Dorćol, salonac, 112m2","290.000,00 €","Beograd ","Opština Stari grad ","Dorćol ",,"112 m2
Kvadratura",44.8252158,20.460523
PENTHOUSE,"1.250.000,00 €","Beograd ","Opština Vračar ","Neimar ","Internacionalnih brigada ","301 m2
Kvadratura",44.7947717,20.4712134
