title,price,location A,location B,location C,location D,location E,size,lat,long,amount
Novi Beograd - Blok 44 Tc Piramida ID#46827,"700,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 44 (TC Piramida),"Gandijeva ","75 m2
Kvadratura",44.8019719,20.3870691,1
Novi Beograd - Blok 21 Hotel Hajat ID#46828,"700,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 21,"Bulevar Mihaila Pupina ","90 m2
Kvadratura",44.8145051,20.4303868,2
Stan sa direktnim pogledom na reku – BW Terraces,"3.000,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovačka ","105 m2
Kvadratura",44.8048828,20.448043,31
Novi Beograd - Stari Merkator ID#46734,"350,00 €",Serbia,"Beograd ","Opština Novi Beograd ","Stari Merkator "," ","36 m2
Kvadratura",44.8280022,20.4125119,3
"Belvil Lux 2,0 stan 48m2 sa parking mestom od 18m2","950,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil),"Jurija Gagarina ","48 m2
Kvadratura",44.8060321,20.4092411,10
"Hram, novogradnja, komforan, garaža, ID 17844","1.200,00 €",Serbia,"Beograd ","Opština Vračar ","Hram svetog Save ","Nebojšina ","101 m2
Kvadratura",44.7981492,20.4691058,11
"BW - Arcadia, nov, neuseljavan, garaža, ID 17770","800,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovačka ","54 m2
Kvadratura",44.8048828,20.448043,31
"Blok 61, renoviran, komforan, ID 8443","750,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 61,"Jurija Gagarina ","100 m2
Kvadratura",44.8033864,20.3699008,3
Centar - Beograd Na Vodi BW ID#45925,"2.250,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","90 m2
Kvadratura",44.8048828,20.448043,31
Centar - Beograd Na Vodi BW ID#44190,"1.200,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","62 m2
Kvadratura",44.8048828,20.448043,31
"Beograd, Blok 62, Stan, 4.0, 100m2","750,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 62,"Jurija Gagarina ","100 m2
Kvadratura",44.8039695,20.376525,3
"Beograd, Blok 65, Stan, 4.0, 88m2","1.100,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 65,"Tošin bunar  ","88 m2
Kvadratura",44.8126665,20.3980309,12
Kapetan Mišina Dorćol,"450,00 €",Serbia,"Beograd ","Opština Stari grad ","Dorćol ","Kapetan Mišina ","40 m2
Kvadratura",44.8252158,20.460523,333
Stan na odličnoj lokaciji.,"240,00 €",Serbia,"Beograd ","Opština Zvezdara ","Konjarnik ",Zapadno selište 47,"42 m2
Kvadratura",44.7827202,20.5067648,6
Novi Beograd - Belville ID#46709,"1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil),"Đorđa Stanojevića ","101 m2
Kvadratura",44.8060321,20.4092411,10
