title;price;location A;location B;location C;location D;location E;size;lat;long
stan na dan prenociste smestaj izdajem garsonjeru;13;Serbia;Beograd ;Opština Palilula ;Borča ;Ivana Milutinovica ;20;44.8787385;20.4667137
Izdajem garsonjeru stan na dan prenoćiste Beograd;13;Serbia;Beograd ;Opština Palilula ;Borča ;Ivana Milutinovica ;20;44.8787385;20.4667137
Stan na dan, Ledine;18;Serbia;Beograd ;Opština Novi Beograd ;Ledine ;Ksantija 13;20;44.8035245;20.3432558
stan na dan - studio na Banjici;23;Serbia;Beograd ;Opština Voždovac ;Banjica ;Beranska 9a;20;44.7621061;20.4683341
Apartman jakuzzi na dan;25;Serbia;Beograd ;Opština Stari grad ;Dom omladine ;Makedonska 15;30;44.8154752;20.4626885
Stan na dan Ledine- apartmani dreamteam;25;Serbia;Beograd ;Opština Novi Beograd ;Ledine ;Ilije Bosilja 10;35;44.8035245;20.3432558
Stan na dan, Beograd, Rakovica, Kneževačka 16 b;25;Serbia;Beograd ;Opština Rakovica ;Kneževac ;Kneževačka  ;40;44.7318473;20.4298488
Stan na dan Apartman Vučko;30;Serbia;Beograd ;Opština Obrenovac ;Rvati ;Kralja Milana 14b;40;44.6574109;20.1959593
Apartmani na dan Beograd Zvezdara Vozdovac Centar;30;Serbia;Beograd ;Opština Zvezdara ;Lipov lad ;Ulcinjska ;32;44.7953694;20.4940689
Apartman na dan, smestaj Centar Beograd;35;Serbia;Beograd ;Opština Stari grad ;Trg Republike ;Obilicev venac  ;35;44.816088;20.4599624
Apartmani 28 blok (kod kafica IN);40;Serbia;Beograd ;Opština Novi Beograd ;Blok 28;Bulevar Arsenija Carnojevic 99;30;44.8128631;20.4132254
Stan na dan Beograd centar lux kod skupstine;50;Serbia;Beograd ;Opština Stari grad ;Skupština ;Kosovska ;25;44.8115854;20.4658261
Izdajem smestaj za radnike Zarkovo;70;Serbia;Beograd ;Opština Čukarica ;Bele vode ;Crveno barjace ;40;44.7501553;20.4028275
Izdavanje stana;120;Serbia;Beograd ;Opština Palilula ;Višnjica ;Branislava Stankovica  ;32;44.8282294;20.5479417
APARTMAN ZA STUDENTE NOVO;125;Serbia;Beograd ;Opština Voždovac ;Konjarnik ;SINJSKA 38;30;44.7827202;20.5067648
